text,label,prediction,prediction_text,correctness
"Malam ini dapet untung gede, terima kasih А𝘌Я𝘖88 Nggak mau ketinggalan kan?",0,1,judi,Salah prediksi
"Ternyata main di А𝘌𝑅О88 bikin rezeki datang begitu saja, langsung gacir!",0,1,judi,Salah prediksi
"Pelayanan 𝘈𝐄Я𝐎88 super ramah, puas banget!",0,1,judi,Salah prediksi
"Rezeki melimpah tiap kali main di 𝐃𝐎𝙍А77,benar-benar luar biasa!",0,1,judi,Salah prediksi
"Sebelumnya aku juga nggak percaya, tapi setelah coba di 𝐃𝐄.𝐖𝐁𝐀𝐃𝟎𝐑𝐀 langsung dapet rezeki besar!",0,1,judi,Salah prediksi
"untung besar bikin hari ini makin seru, cuma di А𝘌𝑅О88",0,1,judi,Salah prediksi
Main santai di 𝐴𝙀Я𝐎88 eh malah dapet untung besar! Gak mau ketinggalan lagi!,0,1,judi,Salah prediksi
Hasil dari 𝐷О𝑅А77 membantu saya menyelesaikan kewajiban keuangan.,0,1,judi,Salah prediksi
"Rezeki besar nggak kemana, makasih banyak D𝑂𝐑А77!",0,1,judi,Salah prediksi
Bg gw pas liat podcast lu bareng org² lu selalu bikin ngakak wkwkk,0,1,judi,Salah prediksi
Mencari platform yang dapat Anda andalkan? AEЯО𝟾8 mungkin solusinya.,0,1,judi,Salah prediksi
"Rezeki dari AЕ𝑅О𝟾𝟴 sungguh luar biasa, terima kasih Tuhan!",0,1,judi,Salah prediksi
"Hasil gacir bikin hariku makin cerah, makasih banyak AЕ𝐑𝑂𝟾𝟴",0,1,judi,Salah prediksi
"Keberuntungan hari ini benar-benar tak terduga, cuma di A𝙀ЯО𝟴𝟴",0,1,judi,Salah prediksi
"Alhamdulillah, rezeki lancar jaya berkat AЕЯ𝙊𝟴𝟴",0,1,judi,Salah prediksi
"Gak nyangka, cuma sekali main langsung dapet untung. Bener-bener gacir di A𝐄Я𝙊8𝟪",0,1,judi,Salah prediksi
"Kagum sama efektivitas terbaik di 𝐌𝐢𝐘𝐚𝟖𝟖, beneran beda!",0,1,judi,Salah prediksi
Di 𝐷𝘌𝙒𝐴𝘿𝘖ЯA membantu saya melunasi hutang dengan hasil konsisten.,0,1,judi,Salah prediksi
Berkat 𝐷𝘌𝙒𝐴𝘿𝘖ЯA saya memiliki dana untuk memperluas usaha.,0,1,judi,Salah prediksi
Pertimbangkan untuk menjelajahi 𝐃𝐄W𝐴𝐷OЯ𝘼-jika Anda menghargai inovasi dan kreativitas.,0,1,judi,Salah prediksi
"Jika Anda ingin memperluas jaringan Anda, D𝐸𝘞A𝐷𝑂Я𝘼 bisa bermanfaat.",0,1,judi,Salah prediksi
ماشاء الله terima kasih atas informasinya,0,1,judi,Salah prediksi
"Gass derr di 𝗟 𝗨 𝗡 𝗔 𝗣 𝗟 𝗔 𝗬 𝟴𝟴 lagi ulang tahun ke 10 tahun , depo 25rb cairr 2 juta",0,1,judi,Salah prediksi
Pagi-pagi udah senyum gara-gara 🅟🅤🅛🅐🅤🅦🅘🅝.,0,1,judi,Salah prediksi
𝙡𝙖𝙣𝙟𝙪𝙩,0,1,judi,Salah prediksi
"Dengan D𝘌𝙒𝘈𝘋𝐎Я𝐀 saya sukses, dari penjaja nasi goreng ke pengusaha makanan.",0,1,judi,Salah prediksi
"Di D𝘌𝙒A𝐃𝑂Я𝐀 membuka pintu sukses, dari penjaja gorengan ke pemilik kafe.",0,1,judi,Salah prediksi
Hasil dari 𝐃Е𝙒𝐀DО𝙍𝐴 membuktikan saya bisa beralih dari kuli bangunan jadi pemilik usaha.,0,1,judi,Salah prediksi
Hasil dari 𝐷E𝑊A𝘋О𝐑𝐀 membuktikan bahwa saya bisa beralih dari tukang bakso ke bos restoran.,0,1,judi,Salah prediksi
Happy banget main di 𝗔𝗘 𝗥𝗢 𝟴𝟴 hasilnya selalu gacir!,0,1,judi,Salah prediksi
"Main bentar, eh langsung rezeki nomplok! Semuanya bisa terjadi di 𝐀EЯ𝙊88",0,1,judi,Salah prediksi
𝘈E𝙍О88 menyediakan pengalaman daring yang dapat diandalkan.,0,1,judi,Salah prediksi
"Banyak promonya, banyak juga keseruannya! А𝙀Я𝙊88 emang beda!",0,1,judi,Salah prediksi
"Bayar tagihan bikin ngantuk, tapi harus tetep ngantuk kayak 𝘼𝐸Я𝐎88 .",0,1,judi,Salah prediksi
Temen-temen gue pada pindah ke �𝗛𝗘𝗥𝗖𝗨𝗟𝗘𝗦𝟴𝟵𝟴 dan gue ngerti kenapanya.,0,1,judi,Salah prediksi
"Parah banget! 𝑲𝑰𝑵𝑮𝟑𝟐𝟖-bikin candu berat, susah banget buat berhenti!",0,1,judi,Salah prediksi
gacor pisan 𝑲𝑰𝑵𝑮𝟑𝟐𝟖,0,1,judi,Salah prediksi
Mencari platform yang dapat Anda andalkan? 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 mungkin solusinya.,0,1,judi,Salah prediksi
Main sebentar langsung dapet jakpot gede. Rezeki ada di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖!,0,1,judi,Salah prediksi
"Mantap sekali! Main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 lancar, cuan pun lancar jaya!",0,1,judi,Salah prediksi
"Baru main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖, saldo langsung naik drastis!",0,1,judi,Salah prediksi
"Semua jadi mungkin, karena 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 terbaik!",0,1,judi,Salah prediksi
"Rezeki dari 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 sungguh luar biasa, terima kasih Tuhan!",0,1,judi,Salah prediksi
"Asyik bangat main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖,Sampai Lupa Waktu",0,1,judi,Salah prediksi
"Mantap sekali! Main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 lancar, cuan pun lancar jaya!",0,1,judi,Salah prediksi
Kesempatan emas menanti di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖!,0,1,judi,Salah prediksi
Langsung coba di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 dan jangan lewatkan kesempatan besar ini!,0,1,judi,Salah prediksi
"Semua jadi mungkin, karena 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 gacor abis!",0,1,judi,Salah prediksi
"Main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 auto happy, rezeki emang sudah diatur!",0,1,judi,Salah prediksi
Penasaran dengan 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 ? Layak untuk dieksplorasi.,0,1,judi,Salah prediksi
"Terima kasih banyak 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 , hari ini benar-benar gacir!",0,1,judi,Salah prediksi
"Happy banget main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 , jakpotnya besar terus!",0,1,judi,Salah prediksi
"Tidak pernah merasa jenuh bermain 𝑲𝑰𝑵𝑮𝟑𝟐𝟖,selalu ada inovasi!",0,1,judi,Salah prediksi
"Sekali coba langsung ketagihan, 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 gacor tanpa ampun!",0,1,judi,Salah prediksi
Semua jadi mungkin! 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 bikin hidup lebih happy!,0,1,judi,Salah prediksi
"Modal sedikit, langsung dapet hasil gede! Rezeki datang dari 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 !",0,1,judi,Salah prediksi
Penasaran dengan 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 ? Layak untuk dieksplorasi.,0,1,judi,Salah prediksi
"Gak ada ruginya, 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 bener-bener gacor!",0,1,judi,Salah prediksi
"Begitu mantap! Bermain di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 lancar, rezeki pun mengalir dengan deras!",0,1,judi,Salah prediksi
"Aku baru aja coba, dan langsung dapet jakpot gede di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖. Rasanya gak percaya, tapi itu nyata!",0,1,judi,Salah prediksi
"Mantap betul! Main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖-anti lag, cuan pun anti macet!",0,1,judi,Salah prediksi
"Jika Anda menghargai dukungan pelanggan, 𝑲𝑰𝑵𝑮𝟑𝟐𝟖mungkin pilihan yang baik.",0,1,judi,Salah prediksi
Modal kecil langsung dapet hasil besar. Gak percaya? Coba sendiri di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖!,0,1,judi,Salah prediksi
Main di 𝑲𝑰𝑵𝑮𝟑𝟐𝟖 bikin auto happy! Rezeki emang gak salah alamat!,0,1,judi,Salah prediksi
"Main sekali di 𝐷𝐎RА77, langsung dapet rezeki gede!",0,1,judi,Salah prediksi
Keuntungan dari 𝘿𝑂𝘙А77 mendukung saya untuk membeli rumah impian.,0,1,judi,Salah prediksi
"Main di 𝘋ОЯ𝐴77 cuma sebentar, eh langsung rezeki nomplok. Jadi pengen coba lagi!",0,1,judi,Salah prediksi
Menang terus di 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖 dengan berbagai bonus.,0,1,judi,Salah prediksi
Nikmati pengalaman seru di 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖.,0,1,judi,Salah prediksi
𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖 membuat pengalaman bermain semakin seru.,0,1,judi,Salah prediksi
Jangan lewatkan kesempatan menang besar di 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖,0,1,judi,Salah prediksi
𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖 memberikan pengalaman bermain yang aman dan terpercaya.,0,1,judi,Salah prediksi
"Dengan 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖, setiap putaran membawa harapan.",0,1,judi,Salah prediksi
Jadilah bagian dari komunitas 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖.,0,1,judi,Salah prediksi
Bergabunglah sekarang di 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖 untuk kemenangan besar.,0,1,judi,Salah prediksi
Berbagai promo menarik menantimu di 𝐆𝐀𝐂𝐎𝐑𝟐𝟖𝟖.,0,1,judi,Salah prediksi
"Coba-coba main АЕ𝐑𝘖88 eh malah jadi pro, cuan terus nih!",0,1,judi,Salah prediksi
"А𝙀𝑅О88 emang mantul, untuk banyak-nya gak main-main!",0,1,judi,Salah prediksi
Happy banget bisa dapet untung besar dari АЕЯ𝙊88,0,1,judi,Salah prediksi
untung besar bikin aku makin semangat coba lagi di А𝘌𝐑О88,0,1,judi,Salah prediksi
"Gak main-main, petir 𝐌𝐢𝐘𝐚𝟖𝟖 tuh bikin kaget seneng!",0,1,judi,Salah prediksi
"𝐌𝐢𝐘𝐚𝟖𝟖 bikin hidup makin asik, auto tajir!!",0,1,judi,Salah prediksi
𝐌𝐢𝐘𝐚𝟖𝟖! Ayo main dan nikmati keseruannya! Nggak bakal nyesel coba!,0,1,judi,Salah prediksi
"Nyoba ertepe di 𝐌𝐢𝐘𝐚𝟖𝟖, langsung puas banget! Jangan sampai ketinggalan!",0,1,judi,Salah prediksi
𝐊𝐨𝐢𝐒𝐋𝐎𝐓 hadir kayak hadiah random yang selalu pas!,0,1,judi,Salah prediksi
"Kalau lo mau bikin rekening tebel, langsung gas ke 𝐌𝐢𝐘𝐚𝟖𝟖!",0,1,judi,Salah prediksi
𝐊𝐨𝐢𝐒𝐋𝐎𝐓 tuh jodohnya tanggal tua!,0,1,judi,Salah prediksi
Kenapa 𝐌𝐢𝐘𝐚𝟖𝟖 tuh menarik ya? Padahal cuma satu nama!,0,1,judi,Salah prediksi
ＧＡ Ｒ Ｕ ＤＡ ＨＯ ＫＩ..Terpopuler masakini,0,1,judi,Salah prediksi
Lanjutkan terus kak koyy masih banyak itu sejarah² nya,0,1,judi,Salah prediksi
"Ga bakal nyesel main di 𝐴Е𝘙O88 Pelayanan oke, untung banyaknya gila!",0,1,judi,Salah prediksi
"Jika Anda menghargai efisiensi dan kemudahan penggunaan, 𝐀E𝐑О88 layak dicoba.",0,1,judi,Salah prediksi
"Bener-bener gacir banget main di 𝘈ЕRО88 Modal kecil, hasilnya luar biasa!",0,1,judi,Salah prediksi
"Keberuntungan besar bikin aku makin semangat, cuma di 𝘼Е𝑅𝙊88",0,1,judi,Salah prediksi
Dijamin gak bakal bosen main di A𝙀Я𝙊88,0,1,judi,Salah prediksi
"Bermain di D𝑂𝐑А77-secara otomatis membuat hati bahagia, rezeki memang sudah ada yang mengatur dan menjamin!",0,1,judi,Salah prediksi
"Berkat D𝑂𝘙А77 saya sukses, dari tukang bakso jadi bos restoran.",0,1,judi,Salah prediksi
Cieee kumpul lagi sepuh²,0,1,judi,Salah prediksi
АE𝙍О88 menawarkan perpaduan fitur yang unik.,0,1,judi,Salah prediksi
Penasaran sama cerita orang-orang yang untung besar di 𝐴Е𝘙O88 akhirnya coba dan langsung dapet rezeki besar!,0,1,judi,Salah prediksi
"Penasaran banget! Coba deh, siapa tau kamu dapet menang seperti aku di DОЯ𝐴77!",0,1,judi,Salah prediksi
Layanannya di 𝐃𝘖𝘙А77 juga oke banget! Gak ada masalah sama sekali!,0,1,judi,Salah prediksi
"Jakpot langsung mengalir begitu main di DОЯ𝐴77, nggak bisa percaya!",0,1,judi,Salah prediksi
Modal usaha saya semakin tumbuh berkat keunggulan dari DORА77.,0,1,judi,Salah prediksi
Berkat 𝐷𝘖𝐑А77 saya mendapatkan modal usaha untuk memulai bisnis impian.,0,1,judi,Salah prediksi
